Qual é a finalidade imediata (direta) do Direito Processual Penal?,"Fazer valer o jus puniendi do Estado, aplicando a lei penal e respeitando direitos fundamentais."
"No Direito Processual Penal, qual é o objetivo da finalidade mediata (indireta)?",A obtenção da paz social e a restauração da ordem violada pelo delito.
Conceitue 'Fontes Formais Imediatas' do Direito Processual Penal.,"São as fontes principais, como a Constituição, leis, tratados e convenções internacionais."
Quais são as três fontes formais mediatas (secundárias) do Direito Processual Penal?,"Costumes, analogia e princípios gerais do Direito."
"Quem é a fonte material (de produção) da norma processual penal no Brasil, em regra?",A União.
O Princípio da _____ estabelece que o Juiz não pode dar início ao processo penal de ofício para preservar sua imparcialidade.,Inércia
Qual dispositivo constitucional serve de base para o Princípio da Inércia ao definir a função do Ministério Público?,"Artigo 129, inciso I da Constituição Federal."
"Diferente do Processo Civil, qual princípio de busca pela verdade vigora no Processo Penal?",Princípio da busca pela verdade real ou material.
Onde está previsto o Princípio do Devido Processo Legal na Constituição Federal?,"Artigo $5^o$, inciso LIV."
Quais são os dois principais corolários do Princípio do Devido Processo Legal?,Ampla Defesa e Contraditório.
O Princípio do Contraditório garante aos acusados o direito de _____ os argumentos e provas da parte contrária.,Contradizer
Dê um exemplo de situação em que o contraditório é exercido apenas após a realização da diligência (diferido).,Decisão que determina busca e apreensão.
A ampla defesa divide-se em duas modalidades: defesa _____ (por profissional) e _____ (pelo próprio réu).,técnica; autodefesa
"Segundo a Súmula 523 do STF, a falta de qual tipo de defesa no processo penal gera nulidade absoluta?",Defesa técnica.
O Princípio da Presunção de Inocência estabelece que ninguém será considerado culpado até o _____.,Trânsito em julgado de sentença penal condenatória
"Como regra probatória, a quem cabe o ônus da prova no processo penal brasileiro?",Ao acusador (MP ou ofendido).
"O princípio 'in dubio pro reo' orienta que, na dúvida sobre a culpa do acusado, o juiz deve decidir em _____.",Favor do réu
A existência de prisões provisórias viola o princípio da presunção de inocência?,"Não, desde que fundamentadas na necessidade cautelar e não como antecipação de pena."
Qual a tese fixada pelo STF no Tema 1068 sobre a condenação pelo Tribunal do Júri?,A soberania dos veredictos autoriza a imediata execução da condenação imposta pelo corpo de jurados.
O Princípio da Obrigatoriedade da Fundamentação das Decisões Judiciais está previsto no Artigo _____ da Constituição.,"$93$, inciso IX"
Qual a exceção técnica à obrigatoriedade de fundamentação de decisões no sistema processual brasileiro?,As decisões proferidas pelo Conselho de Sentença no Tribunal do Júri (sistema da íntima convicção).
O Princípio da Publicidade permite restrições em quais hipóteses constitucionais?,Quando a intimidade das partes ou o interesse público o exigirem.
O princípio da paridade de armas é também conhecido tecnicamente como _____.,Isonomia Processual
O prazo em dobro conferido à Defensoria Pública é uma exceção legal para garantir qual princípio?,Princípio da Isonomia Processual (equilíbrio de forças).
"Embora implícito na Constituição, qual tratado internacional ratificado pelo Brasil prevê o Duplo Grau de Jurisdição?",Pacto de San José da Costa Rica (Convenção Americana de Direitos Humanos).
O Princípio do Juiz Natural veda expressamente a criação de qual tipo de juízo?,Tribunal ou Juízo de exceção (criado após o fato para um caso específico).
"O que estabelece o Princípio da Identidade Física do Juiz (Art. 399, §$2^o$ do CPP)?",O juiz que presidiu a instrução deverá proferir a sentença.
Quais são as cinco hipóteses (mnemônico PLACA) que afastam a identidade física do juiz?,"Juiz Promovido, Licenciado, Afastado, Convocado ou Aposentado."
Diferencie prova ilícita de prova ilegítima.,Provas ilícitas violam normas de direito material; ilegítimas violam normas de direito processual.
Qual é a denominação técnica da teoria que veda a utilização de provas ilícitas por derivação?,Teoria dos frutos da árvore envenenada.
O princípio da vedação à autoincriminação é também conhecido pelo brocardo latino _____.,Nemo tenetur se detegere
O réu pode ser obrigado a participar de audiência para reconhecimento pessoal (comportamento passivo)?,"Sim, a vedação à autoincriminação abrange apenas comportamentos ativos."
O Princípio do 'Non Bis In Idem' proíbe que uma pessoa seja _____ ou _____ duas vezes pelo mesmo fato.,Punida; processada
A comunicação imediata da prisão e do local onde o preso se encontra deve ser feita a quem?,Ao juiz competente e à família do preso ou pessoa por ele indicada.
Quais são os quatro princípios assegurados à instituição do Júri pela Constituição Federal?,"Plenitude de defesa, sigilo das votações, soberania dos veredictos e competência para crimes dolosos contra a vida."
A competência do Tribunal do Júri para crimes dolosos contra a vida também abrange quais outros crimes?,Os crimes que forem conexos aos crimes dolosos contra a vida.
Qual o requisito constitucional para a realização de interceptação telefônica?,Ordem judicial para instrução processual penal ou investigação criminal (cláusula de reserva de jurisdição).
O preso que for civilmente identificado pode ser submetido à identificação criminal?,"Em regra não, salvo nos casos expressamente previstos em lei (Art. $5^o$, inciso LVIII)."
"No sistema _____, as funções de acusar e julgar se concentram na mesma pessoa e predomina o sigilo.",Inquisitivo
Qual sistema processual penal é caracterizado pela separação clara entre acusador e julgador e pela publicidade?,Sistema Acusatório.
"Com a Lei 13.964/19 (Pacote Anticrime), qual sistema processual passou a ser inegavelmente adotado no Brasil?",Sistema Acusatório.
Qual é a principal justificativa para a criação da figura do Juiz das Garantias?,Garantir a imparcialidade do julgador ao distanciá-lo da fase de investigação criminal.
Em quais artigos do Código de Processo Penal está prevista a figura do Juiz das Garantias?,Artigos $3^o$-A a $3^o$-F.
Qual a posição do STF sobre a constitucionalidade do Juiz das Garantias?,O STF afirmou sua absoluta constitucionalidade por reforçar o modelo acusatório da Constituição de 1988.
"No sistema inquisitivo, qual elemento é tido como a 'prova máxima'?",A confissão.
Qual o papel do Juiz no sistema acusatório quanto à iniciativa probatória?,"A iniciativa é delegada às partes, cabendo ao juiz apenas de forma excepcional e subsidiária."
O relaxamento imediato da prisão pelo Juiz deve ocorrer em qual circunstância específica?,Quando a prisão for considerada ilegal.
A vedação de inquéritos policiais em curso serem considerados maus antecedentes baseia-se em qual princípio?,Princípio da Presunção de Inocência (Súmula 444 do STJ).
O direito ao silêncio é um desdobramento de qual princípio processual?,Princípio da Vedação à Autoincriminação (nemo tenetur se detegere).
Como se define a 'Publicidade Restrita' no processo penal?,É a limitação do acesso aos atos processuais às partes e advogados para preservar a intimidade ou o interesse público.
